timestamp,temperature,humidity,temp_rate,humi_ratepredicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-15 20:32:20,28.40,79.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:22,28.40,79.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:24,28.50,79.20,0.0500,0.0999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:26,28.50,79.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:28,28.70,78.80,0.1000,-0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:30,28.70,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:32,28.70,78.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:34,28.60,78.60,-0.0500,-0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:36,28.60,78.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:38,28.50,79.00,-0.0500,0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:40,28.50,79.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:42,28.50,79.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:44,28.50,78.90,0.0000,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:46,28.50,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:48,28.50,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:50,28.70,79.30,0.1000,0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:52,28.70,79.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:54,28.60,79.40,-0.0500,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:56,28.60,79.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:32:58,28.40,78.90,-0.1000,-0.2499,0,,0.9054,0.9054,0.0258,0.0688,0.27,912
2026-05-15 20:33:00,28.40,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:02,28.40,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:04,28.70,78.70,0.1500,-0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:06,28.70,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.19,912
2026-05-15 20:33:08,28.70,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:10,28.70,78.90,0.0000,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:12,28.70,78.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:14,28.50,79.10,-0.1000,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:16,28.50,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:18,28.50,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:20,28.50,79.30,0.0000,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:22,28.50,79.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:24,28.30,78.70,-0.1000,-0.3000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:26,28.30,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:28,28.30,78.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:30,28.60,79.40,0.1500,0.3500,0,,0.9054,0.9054,0.0258,0.0688,0.18,912
2026-05-15 20:33:32,28.60,79.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:34,28.70,79.10,0.0500,-0.1500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:36,28.70,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:38,28.70,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:40,28.30,79.10,-0.1999,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:42,28.30,79.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:44,28.60,79.40,0.1500,0.1500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:46,28.60,79.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:48,28.60,79.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:33:50,28.50,78.80,-0.0500,-0.2998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
